username,bio,commits_before,commits_after,prs_created_before,prs_created_after,prs_reviewed_before,prs_reviewed_after,disabled,blind,visually impaired,deaf,neurodivergent,autistic,adhd,chronic illness,mobility aid,match
AElX01,certified autistic hacker ass,19,33,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Allfatherlink,i'm a moron and adhd,4,0,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Amateur-God,30 | tech nerd 🖥️ | otaku 🇯🇵 | gamer 🎮 | autistic ♾️ | norse pagan ⚒️ | foodie 🍜,60,2,16,0,0,0,False,False,False,False,False,True,False,False,False,autistic
AmericanSquid,"american squid is a project by matthew wagner (k3ayv)—a musician, social worker, amateur radio operator, webmaster, and proud neurodivergent nerd.",25,61,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
Angablade,"constantly working or constantly working. adhd programmer, i'm surprised i push anything at all.",0,6,0,1,0,0,False,False,False,False,False,False,True,False,False,adhd
AntiFactser,i'm autistic,0,11,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
AspenL,"cat lover, storyteller, autistic, go horse adept",26,2,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
AuraCat66,"just a girl from perpignan, northern catalonia, france (perpinyà, in catalan) - multilingual, neurodivergent",0,153,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
AymenStudios,computer science generalist/ systems engineering specialist & entrepreneur + adhd,5,10,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
BNK3R-Boy,autistic self-taught hobbyist.  started writing scripts in basic on the c64 at the age of 6.,215,190,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
BecksHookham,freelance careers coach | careers education lead at makers |   pragmatic advice for career changers of all ages |   lgbtq+ | mental & chronic illness embracing,65,28,0,0,0,0,False,False,False,False,False,False,False,True,False,chronic illness
BlackDragon47,"retired, disabled veteran. father, husband & grandpa. life coach, social media influencer enjoying simple things in life. service to god's glory.",0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
BloomingBitsXND,"💻 cs student @ lsbu | 🌐 learning web development | 🎨 design meets code | 🚀 building clean, functional, user-focused projects  | 🧠 neurodivergent",1,1,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
13AuDHD,autistic ∞ adhd. non-binary. i design and create things.,0,187,0,0,0,0,False,False,False,False,False,True,True,False,False,autistic
3tanium,adhd coding creature,0,1,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
6604062630081,"adhd <3, depressed, suicidal, mentally ill :(",1,1,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
6Bolt,"disabled electrical engineer, who used to work in the semiconductor field. now do projects to keep busy.",0,89,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
BorgorNinja,aspiring autistic programmer,29,41,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
BoxingOctopus,"he/him :: 🇨🇦 :: queer, neurodivergent devsecops dude :: python/golang/js developer :: retro gamer :: nerd :: staff devops developer @mappedin",0,23,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
BugByt3s,autistic and loves wayy to many things,2,0,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
CallocGD,i am autistic and reverse engineer geometry dash code and write hacks.,116,2,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
CaptainStormblade,a blind finnish coder/coffee lover ;),0,15,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
CasinoCups,adhd | possible osdd | not super active  | idc abt inspo but dont copy my ass   | @peefarter53 @strwbberrri @mimismileyy @ayatosbathwater,0,34,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
CatBoxXD,"hi, im catboxxd ^-^  20, dumb, & a catgirl :3  fav genres: post-punk, nightcore, pop, & more >w<  autistic, mixed, & trans :)",32,359,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Chalwk,"hi there, i'm jericho (aka chalwk). autistic & proud! embracing neurodiversity.  💙🧩🌈🧠👏",379,453,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Chaoskjell44,i'm just a guy with adhd and possible autism,0,30,0,3,0,0,False,False,False,False,False,False,True,False,False,adhd
ChristalCamillo,mobile android dev (but who knows). autistic,8,4,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
ClaudiusMinimus,"i am an older retired and disabled grandpa, which is the best job ever! i am now a minecraft aficionado.",0,1,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
Codel1417,just a developer with adhd,5,17,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Deaf-Wolf,deaf 🤟   azubi 🧑‍🎓 anwendungsentwickler,31,0,2,0,0,0,False,False,False,True,False,False,False,False,False,deaf
DeafMan1983,deaf and jobless    ps: shut up hijackers or scammers whatever i will report government if you get my password then i will catch you now. no joke! i am very mad,0,3,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
Deafveloper,👋 deaf web developer | harvard cs50 enthusiast 🌐 | cncf deaf & hard of hearing working group 🤝,17,0,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
Decapitated,adhd won't let me be great. just mildly awesome.,116,15,7,10,0,0,False,False,False,False,False,False,True,False,False,adhd
Diddledid,an autistic person who makes stuff for fun!!,60,4,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
DismalShadowX,deaf and content creator | astronomer | secular humanist | human rights activist | whovian,67,0,25,0,0,0,False,False,False,True,False,False,False,False,False,deaf
DjPoke,just a simple disabled programmer.,128,4,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
DollaR84,blind developer,1,1,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
DrAlta,autistic indy serious game developer.,39,198,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
DrSolidDevil,disabled,0,207,0,22,0,1,True,False,False,False,False,False,False,False,False,disabled
EvaAlonso,junior fullstack developer with functional and neurodivergent diversity . i like to make applications that solve a need and that can be used by all people,73,145,3,10,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
Fotkurz,"using my adhd to fulfil all my interests, from engineering and math to api's and game development.",0,15,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
FoxComment,"dan fox, 22 ♂  smol and autistic purrson",12,1,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
FunKodeT,medically disabled military veteran;,80,0,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
GBraxton-2024,disabled navy vet  reagans dad  ex sparky electrical business owner  sober- jesus is king!,2,8,0,2,0,0,True,False,False,False,False,False,False,False,False,disabled
GG-Santos,"a full-stack psychosocial disabled game developer, focusing on 2d animation and game design. owo!",6,24,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
GallinX,disabled linux mint fan and ren'py game dev!,11,3,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
Galvana28,"✰‧₊˚☽˚⋆ yoru/galvana/lumin | autistic and bad at communicating., | zeraora, kurloz, collei (+more) fictionkin and otherkin | ei's third child /hsrs /cf",28,22,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
GenericCorporatePilot2005,"a not-so-novice modder of the underrated board strategy game into the breach, a fan of videogames, music, and good food  autistic",0,24,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
HenryCecen,i am software engineering as deaf person and change our world for like us.,10,1,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
Hermesiss,full stack adventurer; multidisciplinary game dev; med tech; vr-ar-mr-xr-arrrr dev; museums. adhd/asd,28,42,3,4,0,0,False,False,False,False,False,False,True,False,False,adhd
Hunterganhs,adhd,2,13,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
ImNotOsiris,data science student & adhd developer,0,9,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
IngwiePhoenix,php/js/c++ dev with a tendency for very weird ideas. visually impaired and a horrible ui designer...wonder why.,0,111,0,0,0,0,False,False,True,False,False,False,False,False,False,visually impaired
IraKreuz-Git,autistic coder,0,5,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
JacobMGEvans,sr. devx engineer @clerk | father | autistic | air force veteran | hardware enthusiast | camping & hiking 🏕️ | trekkie | d&d | oss enthusiast,83,101,0,4,0,0,False,False,False,False,False,True,False,False,False,autistic
JasonWarrenUK,"neurodivergent anarchosocialist loudmouth // hyperfocus + medication = suddenly learning to code // today basic html, tomorrow the world",0,35,0,4,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
JohncThompsondev,deaf developer,41,0,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
Kohlyde,"twice exceptional, adhd, autistic ,a shit-ton of sme, wait , wheres my car? fuck where are my keys...... if you know....",69,37,0,0,0,0,False,False,False,False,False,True,True,False,False,autistic
KorKoor,i love the videogames and coding. i have adhd and a little of autism,7,0,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Kseen715,living hopelesscore. adhd & anxiety king,389,43,8,1,0,0,False,False,False,False,False,False,True,False,False,adhd
LCB34,**it**\any ★ disabled ★ c+h very encouraged .. i am just freakishly shy^^.. ★ pfp : huaqinger,0,39,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
Lanie-Carmelo,"christian woman. blind, autistic, and chronically ill. studying software development, hoping to become a professional software accessibility tester.",21,1,0,0,0,0,False,True,False,False,False,True,False,False,False,blind
Liloapocalipstick,🎨designer & art journalist 💻 swimmer🏊‍♀️ wanderlust🚴‍♀biker 🙏 mindfulness 🧠neurodivergent,0,1,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
LiterallyUzi,𖥂𓏵𝔅𝔦𝔱𝔢 𝔐𝔢╶ isfp / adhd  𖤐 idk how to socialize. be patient with me plz !! --> @bigbangxstraykids,0,4,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Lucretiel,"neophile. #rustlang at @1password. #adhd. 31. he/him/his. mercator projection apologist. pronounced ""luke-reh-teal"".",12,78,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
MagickaHat,autistic | afro indigenous | really nerdy,0,3,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
MatejMagat305,"semi-joke:  i m disabled person, i do not write code with my hand, so my code is ""write without humans hands"", but i don't need sentiment ;)",4,7,2,0,0,0,True,False,False,False,False,False,False,False,False,disabled
MatheusForstner,💻 i am a programmer!  💙 i'm deaf!  📖 college study in system analysis and development!  📚 i'm frontend and backend!  🎯 creativity !,18,28,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
MaxMin-art,autistic!,0,3,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
MengelCode,it specialist. open source fanatic. neurodivergent. developing the mindset of a cat.  de/en(/fr/zh-cn),10,3,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
Michael-AUG,amateur radio operator gm5aug | autistic | founding member of @mm0wsg | always learning!,47,33,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Minna-Cross,curiosity-driven & neurodivergent,25,3,0,1,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
MisterSaibot,very autistic and stupid,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
MjstcQueentin,proudly gay and neurodivergent software engineer and gaming streamer.,40,82,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
MonsterAzi,"hi, i'm azazelle guice! i'm a student learning biology and data science. i'm learning python and the basics of machine learning. adhd",40,7,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Monztech,ethical technologist in training  🧠 neurodivergent,2,0,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
MopigamesYT,"- lesbian transgender girl     - she/her     - diabetic, adhd    - developer    - minecraft pvp player / geometry dash player    - bilingual french / english",15,14,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
MusicalNinjaDad,"this where i do my art, some people paint ... i code.    dad, physicist, neurodivergent.    @-tag me to get my attention!",0,76,0,44,0,24,False,False,False,False,True,False,False,False,False,neurodivergent
NVCDevelopmentTeam,"coding nguyen: web developer, accessibility tester, freelancer, blind. makes wordpress themes, zsr screen reader. leads blind programmers’ community in vietnam.",71,156,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
Nexxus-Drako,"a neurodivergent transfeminine sapphic furry plural creative jack of all trades from brisbane, australia that moonlights as, a game dev, and a streamer.",8,6,1,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
NohbdyAhtall,"radical bigot exiler of reverse-lethal, ecological egalitarian hierarchy abolishment; <3 godot dev; veteran; disabled; nsfwdev::omnisexual+polyamorous++",0,1,1,0,0,0,True,False,False,False,False,False,False,False,False,disabled
Paramilky,random autistic nerd,0,6,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
PatchworkBoy,autistic data analyst & webdev,2,8,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Patsen95,"disabled intelligent electronics student who loves doing creative, crazy stuff!",0,20,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
Peiprjs,neurodivergent transbian (demigirl gray-asexual homoromantic) biotech student.   i've published a couple protocols.,90,3,1,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
ProHaller,"creative director @ tsunagaru japan, cultural experience design thinking, reality advocate, i multiply perspectives & value facts, adhd・entp・🇫🇷🇯🇵🇬🇧🇪🇸",75,24,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
Rakadeja,i jump from project to project and follow the flow of adhd wherever it goes. my trail of pipedreams to realized creations are showcased here. 🌌🩵✡️🌊🎮😹,0,23,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
RazoV1,"im not autistic, i swear",12,0,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
RustedAperture,photographer | tech enthusiast | 3d printing hobbyist | sysadmin | adhd | partner | language learner,58,24,7,0,0,0,False,False,False,False,False,False,True,False,False,adhd
S60Team,"disabled from ukraine. i like cycling, learn programming and finding something new.",2,0,0,0,0,0,True,False,False,False,False,False,False,False,False,disabled
SS56Bo,coding my way through adhd 🚀,7,41,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
ST4R-JEST1E-FR0ZEN,".ೄྀ ✩‧₊˚ pfp by me rahhhhh. c+h appreciated! 𝓓𝓸𝓷'𝓽 𝓯𝓾𝓬𝓴𝓲𝓷𝓰 𝓼𝓽𝓮𝓪𝓵 𝓶𝔂 𝓼𝓴𝓲𝓷𝓼, pls.  iwc i'm neurodivergent. sign straw.page! <3",0,39,0,0,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
SeveriusRasmussen,i am just a deaf programmer that make programs for fun.  i love everything comic and animations!,29,35,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
SheaBelsky,"actually autistic! skier, runner, photographer",6,4,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
SirNoods,nerd of many things fuelled by adhd and caffeine. working in vfx.    @goshva on matrix  @noisynoodle on discord,1,46,0,1,0,0,False,False,False,False,False,False,True,False,False,adhd
SkipToTheEndpoint,microsoft mvp - intune & windows.  cloud-native endpoint advocate. neurodivergent loudmouth.,46,39,6,2,0,0,False,False,False,False,True,False,False,False,False,neurodivergent
SkyJumper409x,adhd + good at starting a lot of thing and finishing none of them,8,25,0,4,0,1,False,False,False,False,False,False,True,False,False,adhd
Smoothzada,just a deaf guy...,0,6,0,0,0,0,False,False,False,True,False,False,False,False,False,deaf
Sylphritz,i code. i meme. a dev with adhd. make of that what you will.,22,0,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
TheAwesomeJoe,an autistic pokemon fan,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
TheJoeCoder,who said people with adhd couldn't finish a project- wait...,5,2,0,0,0,0,False,False,False,False,False,False,True,False,False,adhd
TheWiredDiabetic,your typical diabetic & autistic programmer 😄,18,6,0,0,0,0,False,False,False,False,False,True,False,False,False,autistic
Timtam,"i'm a blind developer from germany with quite some experience in full stack web development as well as game and media programming, especially in python.",128,125,0,0,0,0,False,True,False,False,False,False,False,False,False,blind
